分类一	分类二	分类三	分类四	词类名	同义词	
天气词类	集合词#	应用类*			照相	a
天气词类	集合词#	应用类*			口袋购物	a
天气词类	集合词#	应用类*			豆果美食	a
天气词类	集合词#	应用类*			龙龙直播	a
天气词类	集合词#	应用类*			任务管理器	a
天气词类	集合词#	应用类*			酷我	a
天气词类	集合词#	应用类*			宝宝巴士	a
天气词类	集合词#	应用类*			安卓版酷狗	a
天气词类	集合词#	应用类*			可可私房菜	a
天气词类	集合词#	应用类*			qq游戏	a
天气词类	集合词#	应用类*			ireader	a
天气词类	集合词#	应用类*			木蚂蚁电子市场	a
天气词类	集合词#	应用类*			讯飞	a
天气词类	集合词#	应用类*			招行手机银行	a
天气词类	集合词#	应用类*			camera360	a
天气词类	集合词#	应用类*			barcod	a
天气词类	集合词#	应用类*			达龙影音	a
天气词类	集合词#	应用类*			360手机精灵	a
天气词类	集合词#	应用类*			root expr.e.管理器	a
天气词类	集合词#	应用类*			土豆客户端	a
天气词类	集合词#	应用类*			录音机	a
天气词类	集合词#	应用类*			掌阅	a
天气词类	集合词#	应用类*			面包旅行	a
天气词类	集合词#	应用类*			安卓优化大师	a
天气词类	集合词#	应用类*			奇珀市场	a
天气词类	集合词#	应用类*			易信	a
天气词类	集合词#	应用类*			天翼讯飞	a
天气词类	集合词#	应用类*			爱奇艺播放器	a
天气词类	集合词#	应用类*			yy语音	a
天气词类	集合词#	应用类*			快播	a
天气词类	集合词#	应用类*			泡泡音乐	a
天气词类	集合词#	应用类*			launcher ex	a
天气词类	集合词#	应用类*			名片全能王	a
天气词类	集合词#	应用类*			qq影音	a
天气词类	集合词#	应用类*			唱吧	a
天气词类	集合词#	应用类*			feition	a
天气词类	集合词#	应用类*			go桌面ex	a
天气词类	集合词#	应用类*			金山词霸	a
天气词类	集合词#	应用类*			千千静听	a
天气词类	集合词#	应用类*			k歌达人	a
天气词类	集合词#	应用类*			收音机	a
天气词类	集合词#	应用类*			泰捷视频	a
天气词类	集合词#	应用类*			海豚浏览器	a
天气词类	集合词#	应用类*			名片夹	a
天气词类	集合词#	应用类*			保卫萝卜二	a
天气词类	集合词#	应用类*			youku	a
天气词类	集合词#	应用类*			360手机助手	a
天气词类	集合词#	应用类*			淘宝	a
天气词类	集合词#	应用类*			手机银行	a
天气词类	集合词#	应用类*			爱酷	a
天气词类	集合词#	应用类*			虾米语音	a
天气词类	集合词#	应用类*			网易新闻	a
天气词类	集合词#	应用类*			百度地图	a
天气词类	集合词#	应用类*			成语故事大全	a
天气词类	集合词#	应用类*			flash player	a
天气词类	集合词#	应用类*			360安全浏览器	a
天气词类	集合词#	应用类*			qq手机管家	a
